rental_serial_number,fk_rental_id,fk_rental_equipment_uid,equipment_type,equipment_type_serial_number,activation_date,manufacturer,model,size,pricing_status,deactivation_date,deactivation_initials,at_offsite,notes,ski_binding_type,wide,ski_boot_type,snowboard_boot_type,snowboard_binding_color
SK0001,,,SK,1,2022-12-12,Blizzard,ARV 116 JJ,130,Standard,,,FALSE,,Junior,,,,
SK0002,98,113,SK,2,2022-12-12,Nordica,Cochise Jr,167,Upgrade,,,FALSE,,Senior,,,,
SK0003,72,261,SK,3,2022-12-12,Atomic,Alltrack Jr,124,Upgrade,,,FALSE,,Junior,,,,
SK0004,,,SK,4,2022-12-12,Rossignol,Mindbender 108 Ti,76,Upgrade,,,FALSE,,Junior,,,,
SK0005,345,8,SK,5,2022-12-12,Fischer,Mindbender Jr,92,Standard,,,FALSE,,Junior,,,,
SK0006,269,223,SK,6,2022-12-12,Head,Kendo,88,Standard,,,FALSE,,Junior,,,,
SK0007,2,25,SK,7,2022-12-12,Salomon,Santa Ana 98,92,Standard,,,FALSE,,Senior,,,,
SK0008,,,SK,8,2022-12-12,Dynastar,Wingman 86 CTI,88,Standard,,,FALSE,,Junior,,,,
SK0009,82,89,SK,9,2022-12-12,Black Diamond,Orb,88,Upgrade,,,FALSE,,Senior,,,,
SK0010,,,SK,10,2022-12-12,Line Skis,Mindbender 106 C,100,Standard,,,FALSE,,Junior,,,,
SK0011,282,275,SK,11,2022-12-12,K2,ARV 106,112,Standard,,,FALSE,,Junior,,,,
SK0012,,,SK,12,2022-12-12,Elan,Firebird Jr,112,Standard,,,FALSE,,Senior,,,,
SK0013,,,SK,13,2022-12-12,Stockli,Ripstick 106,112,Standard,,,FALSE,,Junior,,,,
SK0014,493,118,SK,14,2022-12-12,Armada,Explore Jr,124,Standard,,,FALSE,,Junior,,,,
SK0015,,,SK,15,2022-12-12,Fischer,Ranger One FR,124,Standard,,,FALSE,,Senior,,,,
SK0016,522,55,SK,16,2022-12-12,Line Skis,Blade,130,Standard,,,FALSE,,Senior,,,,
SK0017,25,198,SK,17,2022-12-12,Atomic,Experience 94 Ti W,146,Standard,,,FALSE,,Senior,,,,
SK0018,,,SK,18,2022-12-12,Volkl,Blade,147,Standard,,,FALSE,,Junior,,,,
SK0019,,,SK,19,2022-12-12,Black Diamond,Prodigy Jr,140,Standard,,,FALSE,,Senior,,,,
SK0020,,,SK,20,2022-12-12,Head,Core Jr,136,Upgrade,,,FALSE,,Senior,,,,
SK0021,742,216,SK,21,2022-12-12,Salomon,FX Jr,136,Upgrade,,,FALSE,,Senior,,,,
SK0022,,,SK,22,2022-12-12,Dynastar,Dobermann Jr,146,Standard,,,FALSE,,Junior,,,,
SK0023,305,9,SK,23,2022-12-12,Rossignol,Laser AX,142,Upgrade,,,FALSE,,Senior,,,,
SK0024,343,73,SK,24,2022-12-12,Nordica,Navigator Jr,154,Standard,,,FALSE,,Senior,,,,
SK0025,134,261,SK,25,2022-12-12,Blizzard,Legend X96,163,Standard,,,FALSE,,Senior,,,,
SK0026,610,110,SK,26,2022-12-12,K2,Blackops Pro Jr,140,Upgrade,,,FALSE,,Senior,,,,
SK0027,,,SK,27,2022-12-12,Elan,Laser AX,150,Upgrade,,,FALSE,,Junior,,,,
SK0028,,,SK,28,2022-12-12,Stockli,Genesis Jr,171,Upgrade,,,FALSE,,Senior,,,,
SK0029,793,85,SK,29,2022-12-12,Armada,NRGY Jr,124,Standard,,,FALSE,,Junior,,,,
SK0030,377,96,SK,30,2022-12-12,Fischer,Mindbender 90 TI,136,Standard,,,FALSE,,Junior,,,,
SK0031,238,101,SK,31,2022-12-12,Head,Deacon Jr,154,Standard,,,FALSE,,Junior,,,,
SK0032,,,SK,32,2022-12-12,Line Skis,React R8 Jr,130,Standard,,,FALSE,,Senior,,,,
SK0033,,,SK,33,2022-12-12,Atomic,Haven Jr,100,Upgrade,,,FALSE,,Junior,,,,
SK0034,,,SK,34,2022-12-12,Volkl,Stormrider 95,112,Upgrade,,,FALSE,,Senior,,,,
SK0035,777,28,SK,35,2022-12-12,Black Diamond,Stance 96,110,Standard,,,FALSE,,Senior,,,,
SK0036,326,113,SK,36,2022-12-12,Rossignol,Firebird Jr,100,Upgrade,,,FALSE,,Junior,,,,
SK0037,66,153,SK,37,2022-12-12,Salomon,Enforcer 88,124,Standard,,,FALSE,,Junior,,,,
SK0038,714,275,SK,38,2022-12-12,Dynastar,QST Lumen 99,112,Upgrade,,,FALSE,,Junior,,,,
SK0039,313,31,SK,39,2022-12-12,Nordica,Experience 88 Ti,,Standard,,,FALSE,,Junior,,,,
SK0040,696,159,SK,40,2022-12-12,Blizzard,Orb,,Upgrade,,,FALSE,,Senior,,,,
SK0041,335,217,SK,41,2022-12-12,K2,Kenja 88,167,Standard,,,FALSE,,Junior,,,,
SK0042,,,SK,42,2022-12-12,Elan,Maverick 85,124,Standard,,,FALSE,,Senior,,,,
SK0043,,,SK,43,2022-12-12,Stockli,S/Max Jr,136,Standard,,,FALSE,,Junior,,,,
SK0044,485,2,SK,44,2022-12-12,Armada,Legend X96,124,Upgrade,,,FALSE,,Junior,,,,
SK0045,324,95,SK,45,2022-12-12,Fischer,Mindbender 99 Ti,112,Standard,,,FALSE,,Junior,,,,
SK0046,595,44,SK,46,2022-12-12,Head,Core Jr,167,Standard,,,FALSE,,Junior,,,,
SK0047,,,SK,47,2022-12-12,Line Skis,Wingman 86 CTI,124,Standard,,,FALSE,,Senior,,,,
SK0048,605,120,SK,48,2022-12-12,Atomic,Comp J,140,Upgrade,,,FALSE,,Senior,,,,
SK0049,136,54,SK,49,2022-12-12,Volkl,Ripstick Jr,136,Upgrade,,,FALSE,,Junior,,,,
SK0050,8,105,SK,50,2022-12-12,Black Diamond,Prodigy Jr,140,Standard,,,FALSE,,Senior,,,,
SK0051,,,SK,51,2022-12-12,Rossignol,Alltrack Jr,136,Standard,,,FALSE,,Junior,,,,
SK0052,73,118,SK,52,2022-12-12,Salomon,Kore 99,136,Standard,,,FALSE,,Senior,,,,
SK0053,,,SK,53,2022-12-12,Dynastar,QST Lumen Jr,130,Standard,,,FALSE,,Junior,,,,
SK0054,,,SK,54,2022-12-12,Nordica,Yumi Jr,136,Standard,,,FALSE,,Senior,,,,
SK0055,595,96,SK,55,2022-12-12,Blizzard,Ranger 102 FR,136,Standard,,,FALSE,,Junior,,,,
SK0056,508,215,SK,56,2022-12-12,K2,NRGY Jr,136,Upgrade,,,FALSE,,Senior,,,,
SK0057,,,SK,57,2022-12-12,Elan,S/Max Jr,136,Upgrade,,,FALSE,,Senior,,,,
SK0058,27,95,SK,58,2022-12-12,Stockli,Hero Jr,130,Upgrade,,,FALSE,,Senior,,,,
SK0059,530,105,SK,59,2022-12-12,Armada,QST 106,130,Standard,,,FALSE,,Junior,,,,
SK0060,415,62,SK,60,2022-12-12,Fischer,QST Lumen 99,130,Standard,,,FALSE,,Senior,,,,
SK0061,446,251,SK,61,2022-12-12,Head,Enforcer 110,130,Standard,,,FALSE,,Senior,,,,
SK0062,237,297,SK,62,2022-12-12,Line Skis,Experience 94 Ti W,158,Standard,,,FALSE,,Junior,,,,
SK0063,786,115,SK,63,2022-12-12,Atomic,Mantra M5,170,Upgrade,,,FALSE,,Junior,,,,
SK0064,,,SK,64,2022-12-12,Volkl,M-Pro 99,124,Standard,,,FALSE,,Junior,,,,
SK0065,,,SK,65,2022-12-12,Black Diamond,Stance Jr,76,Upgrade,,,FALSE,,Junior,,,,
SK0066,460,135,SK,66,2022-12-12,Rossignol,Enforcer 110,76,Standard,,,FALSE,,Senior,,,,
SK0067,12,237,SK,67,2022-12-12,Salomon,Ranger One FR,177,Standard,,,FALSE,,Junior,,,,
SK0068,,,SK,68,2022-12-12,Dynastar,Backland 107,152,Standard,,,FALSE,,Senior,,,,
SK0069,,,SK,69,2022-12-12,Nordica,Mindbender Jr,136,Upgrade,,,FALSE,,Junior,,,,
SK0070,771,29,SK,70,2022-12-12,Blizzard,Konic Jr,136,Upgrade,,,FALSE,,Junior,,,,
SK0071,2,138,SK,71,2022-12-12,K2,Kenja 88,142,Standard,,,FALSE,,Junior,,,,
SK0072,,,SK,72,2022-12-12,Elan,Park Jr,149,Standard,,,FALSE,,Junior,,,,
SK0073,420,228,SK,73,2022-12-12,Stockli,M-Pro 99,142,Standard,,,FALSE,,Junior,,,,
SK0074,495,214,SK,74,2022-12-12,Armada,Maverick 85,100,Standard,,,FALSE,,Junior,,,,
SK0075,,,SK,75,2022-12-12,Fischer,Prodigy Jr,100,Standard,,,FALSE,,Senior,,,,
SK0076,,,SK,76,2022-12-12,Head,Ranger One FR,100,Upgrade,,,FALSE,,Junior,,,,
SK0077,214,292,SK,77,2022-12-12,Line Skis,Explore Jr,88,Upgrade,,,FALSE,,Senior,,,,
SK0078,382,74,SK,78,2022-12-12,Atomic,Blade,100,Upgrade,,,FALSE,,Junior,,,,
SK0079,394,37,SK,79,2022-12-12,Volkl,Mantra Jr,100,Upgrade,,,FALSE,,Junior,,,,
SK0080,218,74,SK,80,2022-12-12,Black Diamond,Stormrider 95,112,Standard,,,FALSE,,Junior,,,,
SK0081,421,90,SK,81,2022-12-12,Rossignol,Core Jr,110,Upgrade,,,FALSE,,Junior,,,,
SK0082,631,2,SK,82,2022-12-12,Salomon,Comp J,124,Standard,,,FALSE,,Senior,,,,
SK0083,,,SK,83,2022-12-12,Dynastar,Prince Jr,162,Standard,,,FALSE,,Junior,,,,
SK0084,279,73,SK,84,2022-12-12,Nordica,Santa Ana 98,158,Standard,,,FALSE,,Senior,,,,
SK0085,726,235,SK,85,2022-12-12,Blizzard,QST Lumen 99,100,Standard,,,FALSE,,Senior,,,,
SK0086,,,SK,86,2022-12-12,K2,Prodigy Jr,110,Standard,,,FALSE,,Junior,,,,
SK0087,,,SK,87,2022-12-12,Elan,Speedmachine Jr,112,Standard,,,FALSE,,Junior,,,,
SK0088,37,249,SK,88,2022-12-12,Stockli,Enforcer 94,112,Standard,,,FALSE,,Junior,,,,
